source,target,source_title,target_title,shared_subtasks,cosine,jaccard,weighted_cosine,same_soc_major_group
29-1125.00,29-1229.04,Recreational Therapists,Physical Medicine and Rehabilitation Physicians,4,0.2965,0.1739,0.3213,1
29-1125.00,29-1291.00,Recreational Therapists,Acupuncturists,4,0.2965,0.1739,0.3237,1
29-1125.00,29-2043.00,Recreational Therapists,Paramedics,4,0.2965,0.1739,0.2968,1
29-1129.02,29-1141.01,Music Therapists,Acute Care Nurses,8,0.2965,0.1739,0.2829,1
29-1181.00,29-1229.06,Audiologists,Sports Medicine Physicians,8,0.2965,0.1739,0.3295,1
29-1123.00,29-1141.04,Physical Therapists,Clinical Nurse Specialists,8,0.2963,0.1739,0.2902,1
29-1123.00,29-1151.00,Physical Therapists,Nurse Anesthetists,8,0.2963,0.1739,0.3091,1
29-1215.00,29-2032.00,Family Medicine Physicians,Diagnostic Medical Sonographers,7,0.2963,0.1667,0.286,1
29-1215.00,29-9099.01,Family Medicine Physicians,Midwives,7,0.2963,0.1667,0.3079,1
17-3012.00,17-3021.00,Electrical and Electronics Drafters,Aerospace Engineering and Operations Technologists and Technicians,5,0.2962,0.1724,0.2546,1
17-3021.00,17-3026.01,Aerospace Engineering and Operations Technologists and Technicians,Nanotechnology Engineering Technologists and Technicians,5,0.2962,0.1724,0.2674,1
19-3032.00,19-3039.03,Industrial-Organizational Psychologists,Clinical Neuropsychologists,5,0.2962,0.1724,0.3339,1
29-1292.00,29-2055.00,Dental Hygienists,Surgical Technologists,5,0.2962,0.1724,0.3104,1
15-1241.01,15-1299.01,Telecommunications Engineering Specialists,Web Administrators,9,0.2961,0.1731,0.3134,1
29-1141.03,29-2034.00,Critical Care Nurses,Radiologic Technologists and Technicians,9,0.2961,0.1731,0.3098,1
29-1141.03,29-2061.00,Critical Care Nurses,Licensed Practical and Licensed Vocational Nurses,9,0.2961,0.1731,0.3341,1
29-1131.00,29-1141.00,Veterinarians,Registered Nurses,9,0.2959,0.1698,0.3115,1
17-2072.01,17-2112.03,Radio Frequency Identification Device Specialists,Manufacturing Engineers,7,0.2958,0.1707,0.2905,1
17-2121.00,17-2161.00,Marine Engineers and Naval Architects,Nuclear Engineers,7,0.2958,0.1707,0.2973,1
29-1141.01,29-1242.00,Acute Care Nurses,"Orthopedic Surgeons, Except Pediatric",7,0.2958,0.1707,0.0,1
29-1041.00,29-1141.02,Optometrists,Advanced Practice Psychiatric Nurses,5,0.2957,0.1667,0.3194,1
29-1125.00,29-1141.02,Recreational Therapists,Advanced Practice Psychiatric Nurses,5,0.2957,0.1667,0.3346,1
17-2141.00,17-2199.06,Mechanical Engineers,Microsystems Engineers,9,0.2954,0.1731,0.2801,1
29-1051.00,29-1224.00,Pharmacists,Radiologists,9,0.2954,0.1731,0.1728,1
29-1141.00,29-2032.00,Registered Nurses,Diagnostic Medical Sonographers,10,0.2953,0.1724,0.2998,1
29-2052.00,29-2056.00,Pharmacy Technicians,Veterinary Technologists and Technicians,8,0.2951,0.1667,0.275,1
29-2053.00,29-2056.00,Psychiatric Technicians,Veterinary Technologists and Technicians,8,0.2951,0.1667,0.28,1
17-2072.00,17-2141.00,"Electronics Engineers, Except Computer",Mechanical Engineers,8,0.2949,0.1702,0.3204,1
17-3024.01,17-3029.08,Robotics Technicians,Photonics Technicians,6,0.2949,0.1714,0.2917,1
29-1217.00,29-2099.01,Neurologists,Neurodiagnostic Technologists,6,0.2949,0.1714,0.2707,1
17-2199.05,17-3029.01,Mechatronics Engineers,Non-Destructive Testing Specialists,5,0.2946,0.1613,0.2906,1
29-1023.00,29-9092.00,Orthodontists,Genetic Counselors,5,0.2946,0.1613,0.3079,1
29-1215.00,29-1229.05,Family Medicine Physicians,Preventive Medicine Physicians,5,0.2946,0.1724,0.2571,1
29-1223.00,29-1229.02,Psychiatrists,Hospitalists,5,0.2946,0.1724,0.3046,1
15-1243.01,15-2041.00,Data Warehousing Specialists,Statisticians,5,0.2941,0.1724,0.3065,1
19-1013.00,19-2041.03,Soil and Plant Scientists,Industrial Ecologists,7,0.294,0.1707,0.2552,1
19-2021.00,19-3011.01,Atmospheric and Space Scientists,Environmental Economists,7,0.294,0.1707,0.2871,1
29-1126.00,29-2033.00,Respiratory Therapists,Nuclear Medicine Technologists,7,0.294,0.1707,0.2652,1
29-1126.00,29-2053.00,Respiratory Therapists,Psychiatric Technicians,7,0.294,0.1707,0.2856,1
29-1141.04,29-1299.01,Clinical Nurse Specialists,Naturopathic Physicians,7,0.294,0.1707,0.3243,1
29-1151.00,29-2053.00,Nurse Anesthetists,Psychiatric Technicians,7,0.294,0.1707,0.2828,1
29-1151.00,29-2099.05,Nurse Anesthetists,Ophthalmic Medical Technologists,7,0.294,0.1707,0.2856,1
29-2031.00,29-2053.00,Cardiovascular Technologists and Technicians,Psychiatric Technicians,7,0.294,0.1707,0.2844,1
19-3032.00,19-3033.00,Industrial-Organizational Psychologists,Clinical and Counseling Psychologists,6,0.2935,0.1714,0.3009,1
29-1021.00,29-1122.00,"Dentists, General",Occupational Therapists,6,0.2935,0.1714,0.2944,1
29-1211.00,29-2032.00,Anesthesiologists,Diagnostic Medical Sonographers,8,0.2933,0.1702,0.319,1
15-1241.00,15-1255.00,Computer Network Architects,Web and Digital Interface Designers,9,0.2928,0.1698,0.2742,1
15-1241.00,15-1255.01,Computer Network Architects,Video Game Designers,6,0.2928,0.1463,0.2356,1
15-1299.07,15-1299.08,Blockchain Engineers,Computer Systems Engineers/Architects,6,0.2928,0.1579,0.2905,1
17-2041.00,17-2112.03,Chemical Engineers,Manufacturing Engineers,6,0.2928,0.1622,0.3222,1
17-2072.01,17-2199.07,Radio Frequency Identification Device Specialists,Photonics Engineers,6,0.2928,0.1714,0.327,1
17-2199.07,17-2199.08,Photonics Engineers,Robotics Engineers,6,0.2928,0.1714,0.2487,1
29-1011.00,29-1218.00,Chiropractors,Obstetricians and Gynecologists,6,0.2928,0.1714,0.317,1
29-1071.00,29-1141.01,Physician Assistants,Acute Care Nurses,6,0.2928,0.1622,0.3208,1
29-1171.00,29-2056.00,Nurse Practitioners,Veterinary Technologists and Technicians,9,0.2928,0.1698,0.2864,1
29-2011.01,29-2033.00,Cytogenetic Technologists,Nuclear Medicine Technologists,6,0.2928,0.1714,0.2601,1
29-2012.01,29-2033.00,Histology Technicians,Nuclear Medicine Technologists,3,0.2928,0.1304,0.2769,1
29-2034.00,29-2072.00,Radiologic Technologists and Technicians,Medical Records Specialists,6,0.2928,0.1622,0.275,1
41-4011.00,41-4011.07,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Solar Sales Representatives and Assessors,6,0.2928,0.1579,0.3145,1
29-1127.00,29-1243.00,Speech-Language Pathologists,Pediatric Surgeons,7,0.2927,0.1707,0.0,1
29-1181.00,29-1216.00,Audiologists,General Internal Medicine Physicians,7,0.2927,0.1707,0.3092,1
19-2043.00,19-4043.00,Hydrologists,"Geological Technicians, Except Hydrologic Technicians",8,0.2921,0.1702,0.2671,1
17-2031.00,17-2151.00,Bioengineers and Biomedical Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",7,0.2919,0.1707,0.3028,1
29-1131.00,29-1217.00,Veterinarians,Neurologists,7,0.2919,0.1707,0.2856,1
19-1031.00,19-1032.00,Conservation Scientists,Foresters,7,0.2917,0.1707,0.3144,1
29-1224.00,29-2099.01,Radiologists,Neurodiagnostic Technologists,7,0.2917,0.1628,0.3583,1
15-1299.05,15-1299.07,Information Security Engineers,Blockchain Engineers,5,0.2916,0.1667,0.3277,1
17-2051.02,17-2199.11,Water/Wastewater Engineers,Solar Energy Systems Engineers,5,0.2916,0.1667,0.3124,1
19-4013.00,19-4021.00,Food Science Technicians,Biological Technicians,5,0.2916,0.1667,0.3026,1
29-1218.00,29-1229.04,Obstetricians and Gynecologists,Physical Medicine and Rehabilitation Physicians,5,0.2916,0.1667,0.3232,1
29-1229.04,29-1299.01,Physical Medicine and Rehabilitation Physicians,Naturopathic Physicians,5,0.2916,0.1667,0.3067,1
29-1299.01,29-2091.00,Naturopathic Physicians,Orthotists and Prosthetists,5,0.2916,0.1667,0.3245,1
29-2053.00,29-2091.00,Psychiatric Technicians,Orthotists and Prosthetists,5,0.2916,0.1667,0.286,1
29-1051.00,29-1181.00,Pharmacists,Audiologists,8,0.2913,0.1702,0.2587,1
17-2011.00,17-2171.00,Aerospace Engineers,Petroleum Engineers,6,0.291,0.1667,0.3148,1
17-2112.03,17-3027.00,Manufacturing Engineers,Mechanical Engineering Technologists and Technicians,8,0.291,0.1702,0.2953,1
17-3023.00,17-3027.00,Electrical and Electronic Engineering Technologists and Technicians,Mechanical Engineering Technologists and Technicians,8,0.291,0.1702,0.3129,1
19-1029.02,19-3022.00,Molecular and Cellular Biologists,Survey Researchers,6,0.291,0.1667,0.3367,1
19-4012.01,19-4043.00,Precision Agriculture Technicians,"Geological Technicians, Except Hydrologic Technicians",6,0.291,0.1667,0.309,1
29-1123.00,29-1229.06,Physical Therapists,Sports Medicine Physicians,8,0.291,0.1702,0.3152,1
29-1141.04,29-2034.00,Clinical Nurse Specialists,Radiologic Technologists and Technicians,8,0.291,0.1702,0.2663,1
29-1051.00,29-1242.00,Pharmacists,"Orthopedic Surgeons, Except Pediatric",7,0.2907,0.1667,0.0,1
29-1041.00,29-1161.00,Optometrists,Nurse Midwives,5,0.2892,0.1613,0.3017,1
29-1041.00,29-1221.00,Optometrists,"Pediatricians, General",5,0.2892,0.1613,0.3036,1
29-1125.00,29-1217.00,Recreational Therapists,Neurologists,5,0.2892,0.1613,0.2901,1
29-1161.00,29-2042.00,Nurse Midwives,Emergency Medical Technicians,5,0.2892,0.1613,0.0,1
15-1243.00,15-2051.01,Database Architects,Business Intelligence Analysts,5,0.2887,0.1562,0.281,1
17-2051.02,17-2141.01,Water/Wastewater Engineers,Fuel Cell Engineers,7,0.2887,0.1667,0.2849,1
17-2199.05,17-3024.01,Mechatronics Engineers,Robotics Technicians,6,0.2887,0.1667,0.2904,1
17-2199.08,17-3021.00,Robotics Engineers,Aerospace Engineering and Operations Technologists and Technicians,5,0.2887,0.1667,0.2816,1
29-1011.00,29-1299.02,Chiropractors,Orthoptists,5,0.2887,0.1667,0.3247,1
29-1081.00,29-1171.00,Podiatrists,Nurse Practitioners,6,0.2887,0.1622,0.3392,1
29-1081.00,29-2092.00,Podiatrists,Hearing Aid Specialists,4,0.2887,0.1667,0.291,1
29-1123.00,29-1229.05,Physical Therapists,Preventive Medicine Physicians,6,0.2887,0.1622,0.2448,1
29-1141.01,29-2099.05,Acute Care Nurses,Ophthalmic Medical Technologists,7,0.2887,0.1667,0.2902,1
29-1151.00,29-1229.02,Nurse Anesthetists,Hospitalists,6,0.2887,0.1622,0.2795,1
29-1151.00,29-1229.03,Nurse Anesthetists,Urologists,6,0.2887,0.1622,0.273,1
29-1211.00,29-1223.00,Anesthesiologists,Psychiatrists,6,0.2887,0.1667,0.2993,1
29-1229.03,29-2031.00,Urologists,Cardiovascular Technologists and Technicians,6,0.2887,0.1622,0.281,1
29-2099.01,29-9092.00,Neurodiagnostic Technologists,Genetic Counselors,6,0.2887,0.1667,0.2655,1
29-1229.04,29-9099.01,Physical Medicine and Rehabilitation Physicians,Midwives,6,0.288,0.1538,0.3166,1
29-2091.00,29-9099.01,Orthotists and Prosthetists,Midwives,6,0.288,0.1538,0.3017,1
29-1141.00,29-1229.05,Registered Nurses,Preventive Medicine Physicians,7,0.2877,0.1522,0.2976,1
29-1131.00,29-9099.01,Veterinarians,Midwives,8,0.2874,0.1667,0.287,1
15-1232.00,15-1255.00,Computer User Support Specialists,Web and Digital Interface Designers,7,0.2872,0.1667,0.3025,1
29-1122.00,29-1141.04,Occupational Therapists,Clinical Nurse Specialists,7,0.2872,0.1667,0.2746,1
29-1141.03,29-2099.01,Critical Care Nurses,Neurodiagnostic Technologists,7,0.2872,0.1591,0.2685,1
29-1141.04,29-1216.00,Clinical Nurse Specialists,General Internal Medicine Physicians,7,0.2872,0.1667,0.2949,1
29-1243.00,29-2031.00,Pediatric Surgeons,Cardiovascular Technologists and Technicians,7,0.2872,0.1667,0.0,1
17-2072.00,17-2112.02,"Electronics Engineers, Except Computer",Validation Engineers,6,0.287,0.1667,0.3024,1
17-2112.01,17-3029.08,Human Factors Engineers and Ergonomists,Photonics Technicians,6,0.287,0.1667,0.2799,1
17-3026.01,17-3029.08,Nanotechnology Engineering Technologists and Technicians,Photonics Technicians,6,0.287,0.1667,0.286,1
29-1141.00,29-2053.00,Registered Nurses,Psychiatric Technicians,8,0.287,0.16,0.3019,1
29-1161.00,29-1214.00,Nurse Midwives,Emergency Medicine Physicians,6,0.287,0.1667,0.2971,1
29-1161.00,29-1222.00,Nurse Midwives,"Physicians, Pathologists",6,0.287,0.1667,0.2657,1
29-1161.00,29-2051.00,Nurse Midwives,Dietetic Technicians,6,0.287,0.1667,0.2535,1
29-1217.00,29-1222.00,Neurologists,"Physicians, Pathologists",6,0.287,0.1667,0.2689,1
29-1217.00,29-2051.00,Neurologists,Dietetic Technicians,6,0.287,0.1667,0.2592,1
17-3012.00,17-3022.00,Electrical and Electronics Drafters,Civil Engineering Technologists and Technicians,5,0.2868,0.1667,0.2463,1
29-1021.00,29-1081.00,"Dentists, General",Podiatrists,5,0.2868,0.1667,0.3012,1
29-1021.00,29-1229.03,"Dentists, General",Urologists,5,0.2868,0.1667,0.2887,1
29-1081.00,29-1214.00,Podiatrists,Emergency Medicine Physicians,5,0.2868,0.1667,0.3182,1
29-1222.00,29-1229.05,"Physicians, Pathologists",Preventive Medicine Physicians,5,0.2868,0.1667,0.2431,1
15-1244.00,15-1299.08,Network and Computer Systems Administrators,Computer Systems Engineers/Architects,8,0.2864,0.1667,0.245,1
29-1071.00,29-1125.00,Physician Assistants,Recreational Therapists,4,0.2864,0.1667,0.3042,1
17-2051.01,17-2072.00,Transportation Engineers,"Electronics Engineers, Except Computer",7,0.2863,0.1667,0.2709,1
29-1181.00,29-1221.00,Audiologists,"Pediatricians, General",7,0.2863,0.1667,0.2868,1
19-4012.00,19-4071.00,Agricultural Technicians,Forest and Conservation Technicians,6,0.286,0.1667,0.3313,1
19-4012.00,19-4092.00,Agricultural Technicians,Forensic Science Technicians,6,0.286,0.1667,0.2913,1
29-1011.00,29-1141.02,Chiropractors,Advanced Practice Psychiatric Nurses,6,0.286,0.1667,0.31,1
29-1011.00,29-1216.00,Chiropractors,General Internal Medicine Physicians,6,0.286,0.1667,0.3193,1
29-1011.00,29-1243.00,Chiropractors,Pediatric Surgeons,6,0.286,0.1667,0.0,1
17-3026.00,17-3027.00,Industrial Engineering Technologists and Technicians,Mechanical Engineering Technologists and Technicians,8,0.2859,0.1667,0.2972,1
11-3021.00,11-9041.00,Computer and Information Systems Managers,Architectural and Engineering Managers,7,0.2858,0.1667,0.2919,1
15-1243.01,15-1251.00,Data Warehousing Specialists,Computer Programmers,5,0.2858,0.1667,0.3365,1
15-2031.00,15-2041.00,Operations Research Analysts,Statisticians,5,0.2858,0.1667,0.3338,1
17-1011.00,17-2021.00,"Architects, Except Landscape and Naval",Agricultural Engineers,5,0.2858,0.1667,0.3078,1
17-2141.02,17-2171.00,Automotive Engineers,Petroleum Engineers,7,0.2858,0.1667,0.2883,1
19-1041.00,19-3022.00,Epidemiologists,Survey Researchers,5,0.2858,0.1667,0.2747,1
19-2099.01,19-4043.00,Remote Sensing Scientists and Technologists,"Geological Technicians, Except Hydrologic Technicians",7,0.2858,0.1667,0.2467,1
29-1071.01,29-2099.01,Anesthesiologist Assistants,Neurodiagnostic Technologists,5,0.2858,0.1667,0.267,1
15-1242.00,15-1299.05,Database Administrators,Information Security Engineers,6,0.2857,0.1667,0.2919,1
15-2041.01,15-2051.02,Biostatisticians,Clinical Data Managers,6,0.2857,0.1667,0.2783,1
17-2112.03,17-3023.00,Manufacturing Engineers,Electrical and Electronic Engineering Technologists and Technicians,8,0.2857,0.1667,0.2563,1
19-1021.00,19-2031.00,Biochemists and Biophysicists,Chemists,4,0.2857,0.1667,0.2884,1
19-1022.00,19-2031.00,Microbiologists,Chemists,4,0.2857,0.1667,0.2664,1
29-1124.00,29-2061.00,Radiation Therapists,Licensed Practical and Licensed Vocational Nurses,8,0.2857,0.1667,0.2848,1
29-1213.00,29-2043.00,Dermatologists,Paramedics,4,0.2857,0.1667,0.2398,1
29-1229.04,29-1291.00,Physical Medicine and Rehabilitation Physicians,Acupuncturists,4,0.2857,0.1667,0.3097,1
29-1229.04,29-2043.00,Physical Medicine and Rehabilitation Physicians,Paramedics,4,0.2857,0.1667,0.2774,1
29-1229.04,29-2091.00,Physical Medicine and Rehabilitation Physicians,Orthotists and Prosthetists,4,0.2857,0.1667,0.2892,1
29-2043.00,29-2091.00,Paramedics,Orthotists and Prosthetists,4,0.2857,0.1667,0.2588,1
29-2053.00,29-2099.05,Psychiatric Technicians,Ophthalmic Medical Technologists,6,0.2857,0.1667,0.2896,1
29-2057.00,29-2091.00,Ophthalmic Medical Technicians,Orthotists and Prosthetists,4,0.2857,0.1667,0.347,1
29-1071.01,29-1129.02,Anesthesiologist Assistants,Music Therapists,6,0.2854,0.1622,0.2578,1
29-1122.01,29-1181.00,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Audiologists,6,0.2854,0.1622,0.2849,1
19-1021.00,19-4012.00,Biochemists and Biophysicists,Agricultural Technicians,5,0.2849,0.1613,0.2706,1
19-2031.00,19-4012.00,Chemists,Agricultural Technicians,5,0.2849,0.1613,0.2796,1
29-1122.00,29-1229.04,Occupational Therapists,Physical Medicine and Rehabilitation Physicians,5,0.2849,0.1613,0.3024,1
29-1122.00,29-2043.00,Occupational Therapists,Paramedics,5,0.2849,0.1613,0.2986,1
29-1141.02,29-1229.04,Advanced Practice Psychiatric Nurses,Physical Medicine and Rehabilitation Physicians,5,0.2849,0.1613,0.3219,1
29-1229.04,29-1243.00,Physical Medicine and Rehabilitation Physicians,Pediatric Surgeons,5,0.2849,0.1613,0.0,1
29-1243.00,29-1291.00,Pediatric Surgeons,Acupuncturists,5,0.2849,0.1613,0.0,1
29-1141.00,29-1151.00,Registered Nurses,Nurse Anesthetists,9,0.2847,0.1636,0.297,1
29-1141.00,29-9093.00,Registered Nurses,Surgical Assistants,9,0.2847,0.1636,0.2895,1
19-1029.01,19-1041.00,Bioinformatics Scientists,Epidemiologists,4,0.2843,0.16,0.2575,1
29-1141.03,29-9092.00,Critical Care Nurses,Genetic Counselors,8,0.2843,0.1633,0.2889,1
29-1214.00,29-1224.00,Emergency Medicine Physicians,Radiologists,7,0.2839,0.1591,0.2109,1
29-1222.00,29-1224.00,"Physicians, Pathologists",Radiologists,7,0.2839,0.1591,0.3204,1
17-2112.00,17-2199.06,Industrial Engineers,Microsystems Engineers,7,0.2837,0.1628,0.2908,1
17-2199.07,17-3026.00,Photonics Engineers,Industrial Engineering Technologists and Technicians,7,0.2837,0.1628,0.228,1
19-1013.00,19-2042.00,Soil and Plant Scientists,"Geoscientists, Except Hydrologists and Geographers",7,0.2837,0.1628,0.2909,1
29-1213.00,29-1224.00,Dermatologists,Radiologists,6,0.2835,0.15,0.2362,1
15-1253.00,15-1255.01,Software Quality Assurance Analysts and Testers,Video Game Designers,5,0.2831,0.1515,0.3058,1
29-2042.00,29-9092.00,Emergency Medical Technicians,Genetic Counselors,5,0.2831,0.1562,0.0,1
15-1212.00,15-1299.03,Information Security Analysts,Document Management Specialists,4,0.2828,0.1538,0.2845,1
15-1221.00,15-1299.02,Computer and Information Research Scientists,Geographic Information Systems Technologists and Technicians,6,0.2828,0.1622,0.2587,1
15-1243.00,15-1252.00,Database Architects,Software Developers,6,0.2828,0.1622,0.2773,1
15-1251.00,15-1299.02,Computer Programmers,Geographic Information Systems Technologists and Technicians,6,0.2828,0.1622,0.2826,1
17-2111.02,17-2151.00,Fire-Prevention and Protection Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",6,0.2828,0.1622,0.2654,1
17-2131.00,17-2141.00,Materials Engineers,Mechanical Engineers,8,0.2828,0.1633,0.2792,1
19-3091.00,19-3094.00,Anthropologists and Archeologists,Political Scientists,6,0.2828,0.1538,0.3277,1
19-4031.00,19-4043.00,Chemical Technicians,"Geological Technicians, Except Hydrologic Technicians",6,0.2828,0.1622,0.304,1
29-1128.00,29-1223.00,Exercise Physiologists,Psychiatrists,6,0.2828,0.1622,0.2901,1
29-1131.00,29-1223.00,Veterinarians,Psychiatrists,6,0.2828,0.1622,0.2907,1
29-1212.00,29-2099.01,Cardiologists,Neurodiagnostic Technologists,6,0.2828,0.1622,0.0,1
29-1122.00,29-1141.01,Occupational Therapists,Acute Care Nurses,7,0.282,0.1628,0.3014,1
29-1122.00,29-2034.00,Occupational Therapists,Radiologic Technologists and Technicians,7,0.282,0.1628,0.2919,1
29-1141.01,29-1216.00,Acute Care Nurses,General Internal Medicine Physicians,7,0.282,0.1628,0.3089,1
29-1141.01,29-1243.00,Acute Care Nurses,Pediatric Surgeons,7,0.282,0.1628,0.0,1
29-1181.00,29-9099.01,Audiologists,Midwives,8,0.2818,0.1633,0.2928,1
29-1299.01,29-1299.02,Naturopathic Physicians,Orthoptists,5,0.2817,0.1613,0.3277,1
29-1141.03,29-9099.01,Critical Care Nurses,Midwives,9,0.2814,0.1636,0.338,1
29-1011.00,29-2032.00,Chiropractors,Diagnostic Medical Sonographers,7,0.2811,0.1591,0.2891,1
17-2112.01,17-2199.05,Human Factors Engineers and Ergonomists,Mechatronics Engineers,6,0.281,0.1622,0.2642,1
17-2141.02,17-3026.01,Automotive Engineers,Nanotechnology Engineering Technologists and Technicians,6,0.281,0.1622,0.2782,1
19-1031.00,19-2041.00,Conservation Scientists,"Environmental Scientists and Specialists, Including Health",6,0.281,0.1622,0.2708,1
29-1211.00,29-2051.00,Anesthesiologists,Dietetic Technicians,6,0.281,0.1622,0.2502,1
17-2072.00,17-3027.00,"Electronics Engineers, Except Computer",Mechanical Engineering Technologists and Technicians,7,0.2809,0.1628,0.289,1
19-1029.04,19-2041.02,Biologists,Environmental Restoration Planners,7,0.2809,0.1628,0.294,1
29-1217.00,29-2031.00,Neurologists,Cardiovascular Technologists and Technicians,7,0.2809,0.1628,0.2792,1
17-2071.00,17-2121.00,Electrical Engineers,Marine Engineers and Naval Architects,8,0.2807,0.1633,0.2869,1
17-2112.03,17-2199.06,Manufacturing Engineers,Microsystems Engineers,8,0.2807,0.1633,0.2499,1
29-1127.00,29-9092.00,Speech-Language Pathologists,Genetic Counselors,7,0.2802,0.1628,0.268,1
15-1243.01,15-1255.00,Data Warehousing Specialists,Web and Digital Interface Designers,6,0.2801,0.1579,0.2673,1
17-3027.01,17-3029.01,Automotive Engineering Technicians,Non-Destructive Testing Specialists,4,0.2801,0.16,0.3168,1
19-2011.00,19-2021.00,Astronomers,Atmospheric and Space Scientists,6,0.2801,0.1579,0.2916,1
29-1122.01,29-1141.04,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Clinical Nurse Specialists,6,0.2801,0.1579,0.2603,1
29-1122.01,29-1171.00,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Nurse Practitioners,6,0.2801,0.1579,0.2625,1
17-2131.00,17-2151.00,Materials Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",7,0.28,0.1628,0.293,1
17-2031.00,17-2072.01,Bioengineers and Biomedical Engineers,Radio Frequency Identification Device Specialists,6,0.2798,0.1622,0.2558,1
17-2031.00,17-2161.00,Bioengineers and Biomedical Engineers,Nuclear Engineers,6,0.2798,0.1622,0.2294,1
17-2031.00,17-2199.08,Bioengineers and Biomedical Engineers,Robotics Engineers,6,0.2798,0.1622,0.2779,1
17-2072.00,17-2072.01,"Electronics Engineers, Except Computer",Radio Frequency Identification Device Specialists,6,0.2798,0.1622,0.2864,1
19-2041.02,19-4071.00,Environmental Restoration Planners,Forest and Conservation Technicians,6,0.2798,0.1622,0.2918,1
29-1011.00,29-1161.00,Chiropractors,Nurse Midwives,6,0.2798,0.1622,0.2988,1
29-1141.00,29-2034.00,Registered Nurses,Radiologic Technologists and Technicians,9,0.2796,0.1607,0.2909,1
29-1141.00,29-2061.00,Registered Nurses,Licensed Practical and Licensed Vocational Nurses,9,0.2796,0.1607,0.2932,1
19-3034.00,19-3041.00,School Psychologists,Sociologists,5,0.2795,0.1613,0.3056,1
15-1232.00,15-2051.02,Computer User Support Specialists,Clinical Data Managers,6,0.2791,0.1622,0.2284,1
19-3033.00,19-4061.00,Clinical and Counseling Psychologists,Social Science Research Assistants,6,0.2791,0.1622,0.2972,1
15-1299.05,15-1299.08,Information Security Engineers,Computer Systems Engineers/Architects,7,0.2789,0.1591,0.316,1
15-1299.08,15-2051.02,Computer Systems Engineers/Architects,Clinical Data Managers,7,0.2789,0.1591,0.2492,1
19-2043.00,19-3011.01,Hydrologists,Environmental Economists,7,0.2789,0.1591,0.3238,1
17-2199.11,17-3011.00,Solar Energy Systems Engineers,Architectural and Civil Drafters,5,0.2786,0.1562,0.3045,1
29-1161.00,29-1229.04,Nurse Midwives,Physical Medicine and Rehabilitation Physicians,5,0.2786,0.1562,0.2804,1
17-2071.00,17-3022.00,Electrical Engineers,Civil Engineering Technologists and Technicians,6,0.2785,0.1538,0.269,1
29-1129.01,29-1229.05,Art Therapists,Preventive Medicine Physicians,6,0.2785,0.1538,0.2728,1
17-2051.00,17-2112.01,Civil Engineers,Human Factors Engineers and Ergonomists,5,0.2782,0.1613,0.2864,1
17-2061.00,17-2112.02,Computer Hardware Engineers,Validation Engineers,5,0.2782,0.1613,0.2533,1
29-1071.00,29-9099.01,Physician Assistants,Midwives,6,0.2782,0.15,0.3184,1
29-1071.01,29-1214.00,Anesthesiologist Assistants,Emergency Medicine Physicians,5,0.2782,0.1613,0.2624,1
29-1122.01,29-1214.00,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Emergency Medicine Physicians,5,0.2782,0.1613,0.255,1
29-1122.01,29-2051.00,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Dietetic Technicians,5,0.2782,0.1613,0.26,1
19-3051.00,19-3092.00,Urban and Regional Planners,Geographers,4,0.278,0.1429,0.1622,1
15-1221.00,15-1251.00,Computer and Information Research Scientists,Computer Programmers,5,0.2778,0.1613,0.2441,1
15-1221.00,15-1252.00,Computer and Information Research Scientists,Software Developers,5,0.2778,0.1613,0.2623,1
15-1221.00,15-2031.00,Computer and Information Research Scientists,Operations Research Analysts,5,0.2778,0.1613,0.2755,1
19-2041.01,19-2041.03,Climate Change Policy Analysts,Industrial Ecologists,5,0.2778,0.1471,0.2788,1
29-1223.00,29-2099.01,Psychiatrists,Neurodiagnostic Technologists,5,0.2778,0.1613,0.2439,1
15-1211.00,15-1221.00,Computer Systems Analysts,Computer and Information Research Scientists,6,0.2774,0.1579,0.2935,1
15-1244.00,15-2031.00,Network and Computer Systems Administrators,Operations Research Analysts,6,0.2774,0.1579,0.2751,1
15-1253.00,15-2031.00,Software Quality Assurance Analysts and Testers,Operations Research Analysts,6,0.2774,0.1579,0.3033,1
19-3039.02,19-3041.00,Neuropsychologists,Sociologists,4,0.2774,0.16,0.2932,1
29-1022.00,29-1041.00,Oral and Maxillofacial Surgeons,Optometrists,3,0.2774,0.1579,0.2481,1
29-1022.00,29-2042.00,Oral and Maxillofacial Surgeons,Emergency Medical Technicians,3,0.2774,0.1579,0.0,1
29-1041.00,29-1229.03,Optometrists,Urologists,4,0.2774,0.16,0.2695,1
29-1125.00,29-1212.00,Recreational Therapists,Cardiologists,5,0.2774,0.1515,0.0,1
29-1129.02,29-1229.01,Music Therapists,Allergists and Immunologists,6,0.2774,0.1579,0.2598,1
