onet_soc_code,stem_category_id,stem_category_name,parent_category_name
25-1053.00,3,Postsecondary Teaching,
25-1054.00,3,Postsecondary Teaching,
25-1061.00,3,Postsecondary Teaching,
25-1062.00,3,Postsecondary Teaching,
25-1063.00,3,Postsecondary Teaching,
25-1064.00,3,Postsecondary Teaching,
25-1065.00,3,Postsecondary Teaching,
25-1066.00,3,Postsecondary Teaching,
25-1067.00,3,Postsecondary Teaching,
25-1069.00,3,Postsecondary Teaching,
25-1071.00,3,Postsecondary Teaching,
25-1072.00,3,Postsecondary Teaching,
29-1011.00,1,"Research, Development, Design, and Practitioners",
29-1011.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1021.00,1,"Research, Development, Design, and Practitioners",
29-1021.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1022.00,1,"Research, Development, Design, and Practitioners",
29-1022.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1023.00,1,"Research, Development, Design, and Practitioners",
29-1023.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1024.00,1,"Research, Development, Design, and Practitioners",
29-1024.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1029.00,1,"Research, Development, Design, and Practitioners",
29-1029.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1031.00,1,"Research, Development, Design, and Practitioners",
29-1031.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1041.00,1,"Research, Development, Design, and Practitioners",
29-1041.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1051.00,1,"Research, Development, Design, and Practitioners",
29-1051.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1071.00,1,"Research, Development, Design, and Practitioners",
29-1071.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1071.01,1,"Research, Development, Design, and Practitioners",
29-1071.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1081.00,1,"Research, Development, Design, and Practitioners",
29-1081.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1122.00,1,"Research, Development, Design, and Practitioners",
29-1122.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1122.01,1,"Research, Development, Design, and Practitioners",
29-1122.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1123.00,1,"Research, Development, Design, and Practitioners",
29-1123.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1124.00,1,"Research, Development, Design, and Practitioners",
29-1124.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1125.00,1,"Research, Development, Design, and Practitioners",
29-1125.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1126.00,1,"Research, Development, Design, and Practitioners",
29-1126.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1127.00,1,"Research, Development, Design, and Practitioners",
29-1127.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1128.00,1,"Research, Development, Design, and Practitioners",
29-1128.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1129.00,1,"Research, Development, Design, and Practitioners",
29-1129.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1129.01,1,"Research, Development, Design, and Practitioners",
29-1129.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1129.02,1,"Research, Development, Design, and Practitioners",
29-1129.02,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1131.00,1,"Research, Development, Design, and Practitioners",
29-1131.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1141.00,1,"Research, Development, Design, and Practitioners",
29-1141.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1141.01,1,"Research, Development, Design, and Practitioners",
29-1141.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1141.02,1,"Research, Development, Design, and Practitioners",
29-1141.02,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1141.03,1,"Research, Development, Design, and Practitioners",
29-1141.03,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1141.04,1,"Research, Development, Design, and Practitioners",
29-1141.04,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1151.00,1,"Research, Development, Design, and Practitioners",
29-1151.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1161.00,1,"Research, Development, Design, and Practitioners",
29-1161.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1171.00,1,"Research, Development, Design, and Practitioners",
29-1171.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1181.00,1,"Research, Development, Design, and Practitioners",
29-1181.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1211.00,1,"Research, Development, Design, and Practitioners",
29-1211.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1212.00,1,"Research, Development, Design, and Practitioners",
