onet_soc_code,stem_category_id,stem_category_name,parent_category_name
15-2099.00,2,Technologists and Technicians,
15-2099.00,2-2,Computer and Mathematical,Technologists and Technicians
15-2099.01,1,"Research, Development, Design, and Practitioners",
15-2099.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2099.01,2,Technologists and Technicians,
15-2099.01,2-2,Computer and Mathematical,Technologists and Technicians
17-1011.00,1,"Research, Development, Design, and Practitioners",
17-1011.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-1012.00,1,"Research, Development, Design, and Practitioners",
17-1012.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-1021.00,2,Technologists and Technicians,
17-1021.00,2-1,Architecture and Engineering,Technologists and Technicians
17-1022.00,2,Technologists and Technicians,
17-1022.00,2-1,Architecture and Engineering,Technologists and Technicians
17-1022.01,2,Technologists and Technicians,
17-1022.01,2-1,Architecture and Engineering,Technologists and Technicians
17-2011.00,1,"Research, Development, Design, and Practitioners",
17-2011.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2021.00,1,"Research, Development, Design, and Practitioners",
17-2021.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2031.00,1,"Research, Development, Design, and Practitioners",
17-2031.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2041.00,1,"Research, Development, Design, and Practitioners",
17-2041.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2051.00,1,"Research, Development, Design, and Practitioners",
17-2051.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2051.01,1,"Research, Development, Design, and Practitioners",
17-2051.01,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2051.02,1,"Research, Development, Design, and Practitioners",
17-2051.02,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2061.00,1,"Research, Development, Design, and Practitioners",
17-2061.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2071.00,1,"Research, Development, Design, and Practitioners",
17-2071.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2072.00,1,"Research, Development, Design, and Practitioners",
17-2072.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2072.01,1,"Research, Development, Design, and Practitioners",
17-2072.01,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2081.00,1,"Research, Development, Design, and Practitioners",
17-2081.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2111.00,1,"Research, Development, Design, and Practitioners",
17-2111.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2111.02,1,"Research, Development, Design, and Practitioners",
17-2111.02,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
17-2112.00,1,"Research, Development, Design, and Practitioners",
17-2112.00,1-1,Architecture and Engineering,"Research, Development, Design, and Practitioners"
