onet_soc_code,title,susceptibility,total_employment,neighbours,best_relief,reason
17-2199.11,Solar Energy Systems Engineers,59.8,154070.0,20,4.7,every close neighbour is about as exposed
19-1013.00,Soil and Plant Scientists,59.8,15730.0,26,9.9,every close neighbour is about as exposed
17-2199.10,Wind Energy Engineers,59.6,154070.0,13,9.2,every close neighbour is about as exposed
19-1012.00,Food Scientists and Technologists,59.1,13060.0,4,7.5,every close neighbour is about as exposed
17-2121.00,Marine Engineers and Naval Architects,58.8,8250.0,46,8.4,every close neighbour is about as exposed
17-3026.00,Industrial Engineering Technologists and Technicians,58.3,75570.0,42,7.9,every close neighbour is about as exposed
17-2021.00,Agricultural Engineers,58.2,1480.0,32,3.6,every close neighbour is about as exposed
17-2171.00,Petroleum Engineers,58.1,18060.0,43,4.9,every close neighbour is about as exposed
19-1029.02,Molecular and Cellular Biologists,58.0,55850.0,33,11.8,every close neighbour is about as exposed
17-2071.00,Electrical Engineers,57.9,198750.0,37,4.5,every close neighbour is about as exposed
17-3027.01,Automotive Engineering Technicians,57.6,36190.0,28,7.2,every close neighbour is about as exposed
19-3091.00,Anthropologists and Archeologists,57.2,8990.0,37,11.0,every close neighbour is about as exposed
17-3028.00,Calibration Technologists and Technicians,57.0,16540.0,17,6.6,every close neighbour is about as exposed
17-1021.00,Cartographers and Photogrammetrists,56.8,14260.0,6,1.7,every close neighbour is about as exposed
19-1031.00,Conservation Scientists,56.7,25950.0,24,7.7,every close neighbour is about as exposed
17-1022.00,Surveyors,56.5,50830.0,8,0.3,every close neighbour is about as exposed
17-3025.00,Environmental Engineering Technologists and Technicians,56.4,12190.0,39,6.0,every close neighbour is about as exposed
17-3031.00,Surveying and Mapping Technicians,56.2,58010.0,16,6.3,every close neighbour is about as exposed
17-3026.01,Nanotechnology Engineering Technologists and Technicians,55.9,75570.0,33,5.5,every close neighbour is about as exposed
19-3033.00,Clinical and Counseling Psychologists,55.5,75990.0,19,3.8,every close neighbour is about as exposed
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",55.4,21450.0,33,5.0,every close neighbour is about as exposed
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,55.1,15520.0,43,4.7,every close neighbour is about as exposed
19-1031.02,Range Managers,55.1,25950.0,8,5.0,every close neighbour is about as exposed
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,54.8,220260.0,0,,no neighbours above the overlap floor
17-2051.00,Civil Engineers,54.6,367840.0,23,-3.3,every close neighbour is about as exposed
19-4021.00,Biological Technicians,54.3,69620.0,17,8.1,every close neighbour is about as exposed
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",53.9,6980.0,30,7.7,every close neighbour is about as exposed
19-2031.00,Chemists,53.8,82770.0,21,7.6,every close neighbour is about as exposed
19-3039.02,Neuropsychologists,53.7,18820.0,14,2.0,every close neighbour is about as exposed
