onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
19-4012.00,Agricultural Technicians,Technologists and Technicians,3,26,49.6,37.4,38.1,-1.9,0.231,0.077,0.0,Insulated
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",5,19,49.6,57.5,58.4,39.0,0.053,0.0,0.684,Human-anchored
29-9091.00,Athletic Trainers,"Research, Development, Design, and Practitioners",5,23,49.6,49.8,50.5,23.2,0.087,0.0,0.348,Human-anchored
17-3029.08,Photonics Technicians,Technologists and Technicians,3,24,49.5,37.5,38.5,-1.5,0.167,0.0,0.042,Insulated
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians,3,20,49.5,41.3,42.3,8.2,0.1,0.05,0.2,Human-anchored
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",5,24,49.5,57.0,57.9,38.4,0.042,0.0,0.708,Human-anchored
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",5,18,49.5,57.0,58.0,40.2,0.056,0.0,0.722,Human-anchored
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners",5,13,49.4,53.8,55.1,27.1,0.077,0.154,0.538,Human-anchored
19-4013.00,Food Science Technicians,Technologists and Technicians,3,16,49.2,37.9,39.6,-8.2,0.0,0.188,0.0,Insulated
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners",5,21,49.2,55.3,56.9,36.7,0.143,0.0,0.714,Human-anchored
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners",4,25,49.0,51.7,53.6,26.4,0.04,0.0,0.44,Human-anchored
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners",5,12,48.8,53.5,56.0,32.0,0.083,0.083,0.667,Human-anchored
29-1141.01,Acute Care Nurses,"Research, Development, Design, and Practitioners",4,27,48.2,54.6,58.2,34.3,0.111,0.074,0.667,Human-anchored
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians,3,16,48.1,37.1,40.8,-6.6,0.125,0.188,0.188,Human-anchored
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners",5,11,48.1,52.3,56.2,30.9,0.091,0.0,0.545,Human-anchored
29-2011.02,Cytotechnologists,Technologists and Technicians,5,13,48.1,43.7,47.6,7.4,0.077,0.0,0.231,Human-anchored
29-2081.00,"Opticians, Dispensing",Technologists and Technicians,3,21,48.1,44.7,48.4,11.7,0.143,0.048,0.19,Human-anchored
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",5,15,48.0,54.9,58.9,36.1,0.067,0.0,0.6,Human-anchored
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners",5,21,47.4,53.6,58.8,34.2,0.048,0.0,0.571,Human-anchored
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners",5,17,47.3,53.9,59.3,37.2,0.059,0.0,0.588,Human-anchored
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",5,18,47.3,53.8,59.2,35.2,0.0,0.0,0.611,Human-anchored
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners",5,21,47.2,48.9,54.5,30.6,0.143,0.0,0.524,Human-anchored
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners",4,27,47.1,50.0,55.7,27.4,0.037,0.0,0.519,Human-anchored
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians,3,19,46.8,44.5,50.9,11.3,0.053,0.053,0.263,Human-anchored
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",5,15,46.7,50.2,56.8,28.4,0.0,0.067,0.667,Human-anchored
19-4051.00,Nuclear Technicians,Technologists and Technicians,3,18,46.6,37.6,44.4,2.1,0.056,0.0,0.167,Human-anchored
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",5,17,46.6,54.5,61.3,37.1,0.0,0.0,0.882,Human-anchored
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians,3,14,46.6,39.5,46.3,0.6,0.071,0.0,0.071,Human-anchored
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians,4,15,46.5,41.4,48.4,7.7,0.133,0.0,0.333,Human-anchored
19-4092.00,Forensic Science Technicians,Technologists and Technicians,3,24,46.4,43.9,51.2,17.6,0.125,0.0,0.667,Human-anchored
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners",5,25,46.1,51.1,59.0,28.6,0.04,0.04,0.64,Human-anchored
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians,3,17,46.1,41.6,49.3,6.9,0.118,0.176,0.412,Human-anchored
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners",5,18,45.2,48.9,58.6,27.7,0.0,0.056,0.722,Human-anchored
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners",5,10,45.1,50.3,60.1,31.7,0.0,0.0,0.7,Human-anchored
