soc_code,soc_title,total_employment,employment_prse,annual_mean_wage,annual_median_wage,hourly_mean_wage,wage_top_coded,release
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",28630.0,1.9,127660.0,115210.0,61.38,0,May 2025
29-2010,Clinical Laboratory Technologists and Technicians,332940.0,0.9,67350.0,62930.0,32.38,0,May 2025
29-2031,Cardiovascular Technologists and Technicians,62960.0,2.1,76940.0,74310.0,36.99,0,May 2025
29-2032,Diagnostic Medical Sonographers,90160.0,1.4,97240.0,96590.0,46.75,0,May 2025
29-2033,Nuclear Medicine Technologists,17080.0,1.8,105160.0,101370.0,50.56,0,May 2025
29-2034,Radiologic Technologists and Technicians,230490.0,0.9,83840.0,80110.0,40.31,0,May 2025
29-2035,Magnetic Resonance Imaging Technologists,43390.0,1.7,96120.0,95480.0,46.21,0,May 2025
29-2036,Medical Dosimetrists,3410.0,6.2,148500.0,147470.0,71.4,0,May 2025
29-2042,Emergency Medical Technicians,180510.0,0.9,46830.0,44470.0,22.52,0,May 2025
29-2043,Paramedics,100610.0,1.2,63360.0,60600.0,30.46,0,May 2025
29-2051,Dietetic Technicians,31560.0,2.5,40630.0,37640.0,19.54,0,May 2025
29-2052,Pharmacy Technicians,471680.0,0.6,46620.0,45750.0,22.41,0,May 2025
29-2053,Psychiatric Technicians,156960.0,1.8,46610.0,45130.0,22.41,0,May 2025
29-2055,Surgical Technologists,117460.0,1.2,68710.0,64650.0,33.03,0,May 2025
29-2056,Veterinary Technologists and Technicians,129140.0,1.5,49120.0,47380.0,23.61,0,May 2025
29-2057,Ophthalmic Medical Technicians,71010.0,4.0,47060.0,45570.0,22.63,0,May 2025
29-2061,Licensed Practical and Licensed Vocational Nurses,648410.0,0.6,67050.0,64400.0,32.24,0,May 2025
29-2072,Medical Records Specialists,194720.0,1.1,56790.0,51140.0,27.3,0,May 2025
29-2081,"Opticians, Dispensing",73530.0,2.2,51770.0,47260.0,24.89,0,May 2025
29-2091,Orthotists and Prosthetists,9390.0,9.7,83740.0,81110.0,40.26,0,May 2025
29-2092,Hearing Aid Specialists,11270.0,5.6,66370.0,65160.0,31.91,0,May 2025
29-2099,"Health Technologists and Technicians, All Other",182610.0,1.3,58710.0,50290.0,28.23,0,May 2025
29-9021,Health Information Technologists and Medical Registrars,38100.0,1.9,74970.0,68020.0,36.04,0,May 2025
29-9091,Athletic Trainers,30500.0,2.4,66620.0,62520.0,,0,May 2025
29-9092,Genetic Counselors,3740.0,5.7,104620.0,100040.0,50.3,0,May 2025
29-9093,Surgical Assistants,22270.0,6.4,72710.0,66800.0,34.96,0,May 2025
29-9099,"Healthcare Practitioners and Technical Workers, All Other",35010.0,1.6,76720.0,65790.0,36.89,0,May 2025
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",284800.0,1.8,119730.0,104920.0,57.56,0,May 2025
41-9031,Sales Engineers,51790.0,2.8,130140.0,124900.0,62.57,0,May 2025
