onet_soc_code,title,description,stem_occupation_types,bright_outlook,job_zone,updated_year,reported_job_titles,n_tasks,n_subtasks,detail_fetched,source_url,fetched_at
17-2112.03,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.","Research, Development, Design, and Practitioners",1,4,2026,Facility Engineer; Manufacturing Engineer; Plant Engineer; Process Engineer; Process Improvement Engineer,24,28,1,https://www.onetonline.org/link/details/17-2112.03,2026-09-16T20:55:56Z
17-2121.00,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.","Research, Development, Design, and Practitioners",1,4,2026,Marine Architect; Marine Design Engineer; Marine Engineer; Marine Engineering Consultant; Marine Structural Designer; Marine Surveyor; Naval Architect; Naval Architect Specialist; Ship Equipment Engineer; Structural Engineer,31,28,1,https://www.onetonline.org/link/details/17-2121.00,2026-09-16T20:55:57Z
17-2131.00,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.","Research, Development, Design, and Practitioners",1,4,2026,Automotive Sheet Metal Engineer; Ceramic Engineer; Extrusion Engineer; Materials Development Engineer; Materials Research Engineer; Metallurgical Engineer; Metallurgist; Process Engineer; Textile Engineer,21,25,1,https://www.onetonline.org/link/details/17-2131.00,2026-09-16T20:55:58Z
17-2141.00,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.","Research, Development, Design, and Practitioners",1,4,2026,Application Engineer; Design Engineer; Equipment Engineer; Mechanical Design Engineer; Mechanical Designer; Mechanical Engineer; Product Development Engineer; Product Engineer; Project Engineer; Test Engineer,28,32,1,https://www.onetonline.org/link/details/17-2141.00,2026-09-16T20:55:58Z
17-2141.01,Fuel Cell Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.","Research, Development, Design, and Practitioners",1,4,2026,Engineer; Fuel Cell Engineer; Research Engineer; Stack Engineer,26,28,1,https://www.onetonline.org/link/details/17-2141.01,2026-09-16T20:55:59Z
17-2141.02,Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.","Research, Development, Design, and Practitioners",1,4,2026,Dimensional Integration Engineer; Engineer; Product Engineer; Project Engineer; Research Engineer,25,24,1,https://www.onetonline.org/link/details/17-2141.02,2026-09-16T20:56:00Z
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.","Research, Development, Design, and Practitioners",0,4,2026,Mine Engineer; Mining Consultant; Mining Engineer; Planning Engineer; Project Engineer; Safety Engineer; Safety Representative,19,25,1,https://www.onetonline.org/link/details/17-2151.00,2026-09-16T20:56:01Z
17-2161.00,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.","Research, Development, Design, and Practitioners",0,4,2026,Engineer; Nuclear Design Engineer; Nuclear Engineer; Nuclear Licensing Engineer; Nuclear Process Engineer; Nuclear Reactor Engineer; Nuclear Safety Engineer; Nuclear Steam Supply System Engineer (NSSS Engineer); Radiological Engineer; Reactor Engineer,20,20,1,https://www.onetonline.org/link/details/17-2161.00,2026-09-16T20:56:02Z
17-2171.00,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,"Research, Development, Design, and Practitioners",0,4,2026,Completion Engineer; Drilling Engineer; Engineer; Operations Engineer; Petroleum Engineer; Petroleum Production Engineer; Project Production Engineer; Project Reservoir Engineer; Reservoir Engineer; Reservoir Engineering Consultant,24,25,1,https://www.onetonline.org/link/details/17-2171.00,2026-09-16T20:56:02Z
17-2199.00,"Engineers, All Other",All engineers not listed separately.,"Research, Development, Design, and Practitioners",0,,,,0,0,1,https://www.onetonline.org/link/details/17-2199.00,2026-09-16T20:56:03Z
17-2199.03,"Energy Engineers, Except Wind and Solar","Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.","Research, Development, Design, and Practitioners",0,4,2026,Energy Efficiency Engineer; Energy Engineer; Industrial Energy Engineer; Test and Balance Engineer (TAB Engineer),21,15,1,https://www.onetonline.org/link/details/17-2199.03,2026-09-16T20:56:03Z
17-2199.05,Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.","Research, Development, Design, and Practitioners",0,4,2026,Automation Designer; Automation Engineer; Control Systems Engineer; Controls Engineering Specialist; Design Engineer (Design Eng); Equipment Engineer; Process Controls Engineer; Process Development Engineer; Project Engineer; Research and Development Engineer (R and D Engineer),23,24,1,https://www.onetonline.org/link/details/17-2199.05,2026-09-16T20:56:04Z
17-2199.06,Microsystems Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.","Research, Development, Design, and Practitioners",0,5,2026,Control Systems Engineer; MEMS Integration Engineer (Microelectrical Mechanical Integration Engineer); Microsystems Engineer; Process Engineer; Product Design Engineer; Project Design Engineer; Project Engineer; Radio Frequency Design Engineer (RF Design Engineer); System Engineer; Systems Engineer,31,29,1,https://www.onetonline.org/link/details/17-2199.06,2026-09-16T20:56:05Z
17-2199.07,Photonics Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.","Research, Development, Design, and Practitioners",0,4,2026,Algorithm Developer; Laser Engineer; Optical Design Engineer; Optical Engineer; Optical Specialist; Optical Systems Engineer; Optoelectronics Engineer; Research and Development Engineer (R and D Engineer); Research Engineer,26,21,1,https://www.onetonline.org/link/details/17-2199.07,2026-09-16T20:56:06Z
17-2199.08,Robotics Engineers,"Research, design, develop, or test robotic applications.","Research, Development, Design, and Practitioners",0,4,2026,Automation Engineer; Autonomous Vehicle Design Engineer; Design Engineer; Factory Automations Engineer; Research Engineer; Robotic Systems Engineer,24,20,1,https://www.onetonline.org/link/details/17-2199.08,2026-09-16T20:56:06Z
17-2199.09,Nanosystems Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.","Research, Development, Design, and Practitioners",0,5,2026,Process Development Engineer; Research Engineer,25,21,1,https://www.onetonline.org/link/details/17-2199.09,2026-09-16T20:56:07Z
17-2199.10,Wind Energy Engineers,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,"Research, Development, Design, and Practitioners",0,4,2025,Engineer; Project Engineer; Turbine Measurements Engineer; Utility Engineer; Wind Energy Consultant; Wind Farm Siting and Development Consultant; Wind Turbine Design Engineer,20,12,1,https://www.onetonline.org/link/details/17-2199.10,2026-09-16T20:56:08Z
17-2199.11,Solar Energy Systems Engineers,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.","Research, Development, Design, and Practitioners",0,4,2025,Consulting Engineer; Engineer; Photovoltaic System Designer (PV System Designer); Power Systems Engineer; Project Engineer; Research Engineer; Solar Design Engineer; Solar Designer; Solar Energy Engineer; Solar Engineer,13,14,1,https://www.onetonline.org/link/details/17-2199.11,2026-09-16T20:56:08Z
17-3011.00,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",Technologists and Technicians,0,3,2026,Architectural Designer; Architectural Drafter; Architectural Draftsman; CAD Designer (Computer-Aided Design Designer); CAD Tech (Computer-Aided Design Technician); CADD Drafter (Computer-Aided Drafting and Design Drafter); Civil Drafter; Drafting Technician (Drafting Tech); Draftsman; Draftsperson,27,23,1,https://www.onetonline.org/link/details/17-3011.00,2026-09-16T20:56:09Z
17-3012.00,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.",Technologists and Technicians,0,3,2026,Computer-Aided Design Operator; Designer; Drafter; Drafting Technician (Drafting Tech); Electrical Designer; Electrical Drafter; Layout Designer; Printed Circuit Board Designer (PCB Designer); Staking Engineer; Staking Technician (Staking Tech),30,19,1,https://www.onetonline.org/link/details/17-3012.00,2026-09-16T20:56:10Z
17-3013.00,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.",Technologists and Technicians,0,3,2026,CAD Designer (Computer Aided Design Designer); CAD Operator (Computer Aided Design Operator); CAM Specialist (Computer Aided Manufacturing Specialist); Design Drafter; Die Designer; Drafter; Drafting Technician (Drafting Tech); Mechanical Designer; Tool Design Drafter; Tooling Designer,17,10,1,https://www.onetonline.org/link/details/17-3013.00,2026-09-16T20:56:11Z
17-3019.00,"Drafters, All Other",All drafters not listed separately.,Technologists and Technicians,0,,,,0,0,1,https://www.onetonline.org/link/details/17-3019.00,2026-09-16T20:56:11Z
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",Technologists and Technicians,1,3,2026,Avionics Installation Technician; Avionics Test Technician; Engineering Technician; Engineering Test Technician; Flight Test Instrument Technician; Instrumentation Technician; Systems Test Technician; Test Technician,12,15,1,https://www.onetonline.org/link/details/17-3021.00,2026-09-16T20:56:12Z
17-3022.00,Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.",Technologists and Technicians,0,3,2026,Civil Designer; Civil Engineering Assistant; Civil Engineering Technician; Design Technician; Engineer Technician; Engineering Assistant; Engineering Technician; Transportation Engineering Technician,15,16,1,https://www.onetonline.org/link/details/17-3022.00,2026-09-16T20:56:13Z
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",Technologists and Technicians,0,3,2026,Communication Technician (Communication Tech); Communications Technologist; Electrical Engineering Technician (Electrical Engineering Tech); Electrical Technician (Electrical Tech); Electronic Engineering Technician (Electronic Engineering Tech); Electronic Technician (Electronic Tech); Electronics Engineering Technician; Electronics Technician; Relay Technician (Relay Tech); System Technologist,28,28,1,https://www.onetonline.org/link/details/17-3023.00,2026-09-16T20:56:13Z
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.",Technologists and Technicians,0,3,2026,Automation Technician (Automation Tech); Electro-Mechanic; Electromechanical Assembler (EM Assembler); Electromechanical Technician (EM Technician); Electronics Technician (Electronics Tech); Mechanical Technician (Mechanical Tech); Process Control Tech; Product Test Specialist; Test Engineering Technician (Test Engineering Tech); Test Technician (Test Tech),29,29,1,https://www.onetonline.org/link/details/17-3024.00,2026-09-16T20:56:14Z
17-3024.01,Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems.",Technologists and Technicians,0,3,2026,Automation Technician; Electrical and Instrumentation Technician (E and I Technician); Instrument and Automation Technician; Instrument Specialist; Instrument Technician; Instrumentation and Controls Technician; Instrumentation and Process Controls Technician; Process Control Technician; Programmable Logic Controllers Technician,22,18,1,https://www.onetonline.org/link/details/17-3024.01,2026-09-16T20:56:15Z
17-3025.00,Environmental Engineering Technologists and Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.",Technologists and Technicians,0,4,2026,Air Quality Instrument Specialist; EHS Engineer (Environmental; Health and Safety Engineer); Engineer; Environmental Engineering Assistant; Environmental Engineering Technician (Environmental Engineering Tech); Environmental Field Technician (Environmental Field Tech); Environmental Technician (Environmental Tech); Haz Tech (Hazardous Technician); Remediation Technician (Remediation Tech),23,25,1,https://www.onetonline.org/link/details/17-3025.00,2026-09-16T20:56:15Z
17-3026.00,Industrial Engineering Technologists and Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.",Technologists and Technicians,0,3,2026,Engineering Technician (Engineering Tech); Industrial Engineering Analyst; Industrial Engineering Technician (Industrial Engineering Tech); Industrial Technician (Industrial Tech); Manufacturing Coordinator; PLC Tech (Programmable Logic Controller Technician); QC Engineering Technician (Quality Control Engineering Technician); Quality Management Coordinator,30,29,1,https://www.onetonline.org/link/details/17-3026.00,2026-09-16T20:56:16Z
17-3026.01,Nanotechnology Engineering Technologists and Technicians,"Implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff.",Technologists and Technicians,0,4,2026,Engineering Technician (Engineering Tech); Lab Technician (Laboratory Technician); Nanofabrication Specialist; Process Engineering Technician (Process Engineering Tech); R and D Engineer (Research and Development Engineer); Research Lab Associate (Research Laboratory Associate); Research Scientist; Research Specialist; Research Technician (Research Tech); Scientific Research Associate,25,19,1,https://www.onetonline.org/link/details/17-3026.01,2026-09-16T20:56:17Z
17-3027.00,Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.",Technologists and Technicians,0,3,2026,Engineering Laboratory Technician (Engineering Lab Technician); Engineering Technical Analyst; Engineering Technician (Engineering Tech); Engineering Technologist; Manufacturing Engineering Technician (Manufacturing Engineering Tech); Mechanical Designer; Mechanical Technician (Mechanical Tech); Process Engineering Technician (Process Engineering Tech); Process Technician; Research and Development Technician (R and D Tech),30,27,1,https://www.onetonline.org/link/details/17-3027.00,2026-09-16T20:56:17Z
17-3027.01,Automotive Engineering Technicians,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.",Technologists and Technicians,0,3,2026,Laboratory Technician (Lab Technician); Research Technician,18,17,1,https://www.onetonline.org/link/details/17-3027.01,2026-09-16T20:56:18Z
17-3028.00,Calibration Technologists and Technicians,"Execute or adapt procedures and techniques for calibrating measurement devices, by applying knowledge of measurement science, mathematics, physics, chemistry, and electronics, sometimes under the direction of engineering staff. Determine measurement standard suitability for calibrating measurement devices. May perform preventive maintenance on equipment. May perform corrective actions to address identified calibration problems.",Technologists and Technicians,1,3,2026,Calibration Specialist; Calibration Technician (Calibration Tech); Gauge Specialist; Instrument and Control Technician (I and C Tech); Instrument Control Technician (Instrument Control Tech); Quality Technician (Quality Tech),14,17,1,https://www.onetonline.org/link/details/17-3028.00,2026-09-16T20:56:18Z
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other","All engineering technologists and technicians, except drafters, not listed separately.",Technologists and Technicians,0,,,,0,0,1,https://www.onetonline.org/link/details/17-3029.00,2026-09-16T20:56:19Z
17-3029.01,Non-Destructive Testing Specialists,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",Technologists and Technicians,0,,2026,Industrial Radiographer; NDE Technician (Non-Destructive Evaluation Technician); NDT Coordinator (Non-Destructive Testing Coordinator); NDT Inspector (Non-Destructing Testing Inspector); NDT Specialist (Non-Destructive Testing Specialist); NDT Technical Specialist (Non-Destructive Testing Technical Specialist); NDT Technician (Non-Destructive Testing Technician),17,12,1,https://www.onetonline.org/link/details/17-3029.01,2026-09-16T20:56:20Z
17-3029.08,Photonics Technicians,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment.",Technologists and Technicians,0,3,2026,Fiber Optics Instructor; Fiber Optics Technician (Fiber Optics Tech); Laser Technician (Laser Tech); Optics Technician (Optics Tech); Optomechanical Technician (Optomechanical Tech); Photonics Laboratory Technician (Photonics Lab Tech); Photonics Technician (Photonics Tech); Ruling Technician (Ruling Tech),24,23,1,https://www.onetonline.org/link/details/17-3029.08,2026-09-16T20:56:21Z
17-3031.00,Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.",Technologists and Technicians,1,3,2026,Field Surveyor; Land Survey Technician (Land Survey Tech); Land Surveyor; Mapping Editor; Mapping Technician (Mapping Tech); Photogrammetric Technician (Photogrammetric Tech); Rodman; Stereoplotter Operator; Survey Technician (Survey Tech); Surveying Technician (Surveying Tech),32,19,1,https://www.onetonline.org/link/details/17-3031.00,2026-09-16T20:56:21Z
19-1011.00,Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.","Research, Development, Design, and Practitioners",1,5,2026,Animal Nutrition Consultant; Animal Nutritionist; Animal Scientist; Beef Cattle Nutritionist; Beef Cattle Specialist; Companion Animal Nutritionist; Dairy Nutrition Consultant; Dairy Research Nutritionist; Research Scientist; Scientist,9,7,1,https://www.onetonline.org/link/details/19-1011.00,2026-09-16T20:56:22Z
19-1012.00,Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.","Research, Development, Design, and Practitioners",1,4,2026,Corporate Food Scientist; Food and Drug Research Scientist; Food Engineer; Food Safety Regulatory Manager; Food Scientist; Food Technologist; Formulator; Product Development Scientist; Research Chef; Research Scientist,14,10,1,https://www.onetonline.org/link/details/19-1012.00,2026-09-16T20:56:23Z
19-1013.00,Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.","Research, Development, Design, and Practitioners",1,5,2026,Agronomist; Arboriculture Researcher; Crop Nutrition Scientist; Forage Physiologist; Horticulture Specialist; Plant Physiologist; Plant Research Geneticist; Research Scientist; Research Soil Scientist; Scientist,27,21,1,https://www.onetonline.org/link/details/19-1013.00,2026-09-16T20:56:23Z
19-1021.00,Biochemists and Biophysicists,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.","Research, Development, Design, and Practitioners",1,5,2026,Analytical Research Chemist; Biochemist; Biophysics Researcher; Scientist,25,14,1,https://www.onetonline.org/link/details/19-1021.00,2026-09-16T20:56:24Z
19-1022.00,Microbiologists,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","Research, Development, Design, and Practitioners",0,4,2026,Bacteriologist; Clinical Laboratory Scientist (Clinical Lab Scientist); Clinical Microbiologist; Medical Technologist; Microbiological Analyst; Microbiologist; Public Health Microbiologist; Quality Control Microbiologist (QC Microbiologist); Research Microbiologist; Research Specialist,14,14,1,https://www.onetonline.org/link/details/19-1022.00,2026-09-16T20:56:25Z
19-1023.00,Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.","Research, Development, Design, and Practitioners",0,4,2026,Aquatic Biologist; Conservation Biologist; Fish and Wildlife Biologist; Fisheries and Wildlife Biological Scientist; Fisheries Biologist; Habitat Biologist; Migratory Game Bird Biologist; Wildlife Biologist; Wildlife Refuge Specialist; Zoologist,15,19,1,https://www.onetonline.org/link/details/19-1023.00,2026-09-16T20:56:25Z
19-1029.00,"Biological Scientists, All Other",All biological scientists not listed separately.,"Research, Development, Design, and Practitioners",0,,,,0,0,1,https://www.onetonline.org/link/details/19-1029.00,2026-09-16T20:56:26Z
19-1029.01,Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.","Research, Development, Design, and Practitioners",0,5,2026,Bioinformaticist; Bioinformatics Programmer; Bioinformatics Research Associate; Computational Biology Scientist; Research Associate; Research Scientist; Scientist,20,11,1,https://www.onetonline.org/link/details/19-1029.01,2026-09-16T20:56:27Z
19-1029.02,Molecular and Cellular Biologists,Research and study cellular molecules and organelles to understand cell function and organization.,"Research, Development, Design, and Practitioners",0,5,2026,Molecular Biologist; Research Scientist,22,25,1,https://www.onetonline.org/link/details/19-1029.02,2026-09-16T20:56:27Z
19-1029.03,Geneticists,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.","Research, Development, Design, and Practitioners",0,5,2026,Cardiovascular Geneticist; Medical Geneticist; Research Scientist; Scientist,24,20,1,https://www.onetonline.org/link/details/19-1029.03,2026-09-16T20:56:28Z
19-1029.04,Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.","Research, Development, Design, and Practitioners",0,5,2026,Aquatic Biologist; Biological Scientist; Biologist; Botanist; Fisheries and Wildlife Biologist; Fisheries Biologist; Marine Biologist; Research Biologist; Research Scientist; Scientist,23,27,1,https://www.onetonline.org/link/details/19-1029.04,2026-09-16T20:56:29Z
19-1031.00,Conservation Scientists,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.","Research, Development, Design, and Practitioners",0,4,2026,Conservationist; Environmental Analyst; Environmental Quality Scientist; Erosion Control Specialist; Land Reclamation Specialist; Land Resource Specialist; Research Soil Scientist; Resource Conservation Specialist; Resource Conservationist; Soil Conservationist,30,24,1,https://www.onetonline.org/link/details/19-1031.00,2026-09-16T20:56:29Z
19-1031.02,Range Managers,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.","Research, Development, Design, and Practitioners",0,4,2026,Conservationist; Forest Range Program Manager; Land Management Supervisor; Natural Resource Manager; Natural Resource Specialist; Range Management Consultant; Range Management Specialist; Rangeland Management Specialist; Wildlife Manager; Wildlife Refuge Manager,18,16,1,https://www.onetonline.org/link/details/19-1031.02,2026-09-16T20:56:30Z
19-1031.03,Park Naturalists,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.","Research, Development, Design, and Practitioners",0,4,2026,Environmental Education Specialist; Environmental Educator; Interpretive Naturalist; Interpretive Park Ranger; Natural Resource Educator; Naturalist; Park Activities Coordinator; Park Guide; Park Interpretive Specialist; Park Ranger,20,29,1,https://www.onetonline.org/link/details/19-1031.03,2026-09-16T20:56:31Z
19-1032.00,Foresters,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.","Research, Development, Design, and Practitioners",0,4,2026,Area Forester; District Forester; Environmental Protection Forester; Fire Prevention Forester; Forest Silviculturist; Procurement Forester; Resource Forester; Service Forester; Silviculturist; Urban Forester,25,24,1,https://www.onetonline.org/link/details/19-1032.00,2026-09-16T20:56:31Z
19-1041.00,Epidemiologists,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.","Research, Development, Design, and Practitioners",1,5,2026,Chronic Disease Epidemiologist; Communicable Diseases Specialist; Environmental Epidemiologist; Epidemiologist; Epidemiology Investigator; Infection Control Practitioner (ICP); Nurse Epidemiologist; Public Health Epidemiologist; Research Epidemiologist; State Epidemiologist,17,18,1,https://www.onetonline.org/link/details/19-1041.00,2026-09-16T20:56:32Z
19-1042.00,"Medical Scientists, Except Epidemiologists","Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.","Research, Development, Design, and Practitioners",1,5,2026,Clinical Laboratory Scientist (Clinical Lab Scientist); Clinical Pharmacologist; Clinical Research Scientist; Medical Researcher; Physician Scientist; Research Scientist; Researcher; Scientist; Study Director; Toxicologist,14,19,1,https://www.onetonline.org/link/details/19-1042.00,2026-09-16T20:56:33Z
19-1099.00,"Life Scientists, All Other",All life scientists not listed separately.,"Research, Development, Design, and Practitioners",0,,,,0,0,1,https://www.onetonline.org/link/details/19-1099.00,2026-09-16T20:56:34Z
19-2011.00,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.","Research, Development, Design, and Practitioners",0,5,2026,Astronomer; Astronomy Outreach Coordinator; Astrophysicist; Research Astrophysicist,17,17,1,https://www.onetonline.org/link/details/19-2011.00,2026-09-16T20:56:34Z
19-2012.00,Physicists,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","Research, Development, Design, and Practitioners",0,5,2026,Astrophysicist; Biophysics Scientist; Health Physicist; Medical Physicist; Research Physicist; Scientist,16,24,1,https://www.onetonline.org/link/details/19-2012.00,2026-09-16T20:56:35Z
19-2021.00,Atmospheric and Space Scientists,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.","Research, Development, Design, and Practitioners",0,4,2026,Broadcast Meteorologist; Forecaster; General Forecaster; Hydrometeorological Technician (Hydrometeorological Tech); Meteorologist; Ocean Monitoring and Data Assimilation Scientist; Research Meteorologist; Service Hydrologist; Warning Coordination Meteorologist; Weather Forecaster,27,27,1,https://www.onetonline.org/link/details/19-2021.00,2026-09-16T20:56:36Z
19-2031.00,Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,"Research, Development, Design, and Practitioners",1,4,2026,Air Quality Chemist; Analytical Chemist; Chemical Lab Scientist (Chemical Laboratory Scientist); Chemist; Forensic Chemist; Product Development Chemist; QC Chemist (Quality Control Chemist); R and D Chemist (Research and Development Chemist); Research Chemist; Scientist,12,14,1,https://www.onetonline.org/link/details/19-2031.00,2026-09-16T20:56:36Z
