onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
29-2042.00,Emergency Medical Technicians,extreme,12,4,1,7,0,0.333,0,180510.0,0
29-2091.00,Orthotists and Prosthetists,extreme,15,5,4,6,0,0.333,0,9390.0,1
29-1292.00,Dental Hygienists,extreme,16,5,2,9,0,0.312,0,222740.0,1
17-3029.01,Non-Destructive Testing Specialists,extreme,16,5,1,10,1,0.312,0,59930.0,0
19-4012.00,Agricultural Technicians,extreme,26,8,6,12,0,0.308,0,15130.0,0
29-2011.02,Cytotechnologists,extreme,13,4,4,5,0,0.308,0,332940.0,1
29-2043.00,Paramedics,extreme,13,4,2,7,1,0.308,0,100610.0,0
29-1021.00,"Dentists, General",extreme,20,6,2,12,1,0.3,0,124390.0,0
29-2033.00,Nuclear Medicine Technologists,extreme,17,5,4,8,1,0.294,0,17080.0,1
29-1151.00,Nurse Anesthetists,extreme,24,7,5,12,0,0.292,0,51840.0,0
29-2035.00,Magnetic Resonance Imaging Technologists,extreme,24,7,6,11,0,0.292,0,43390.0,1
29-2031.00,Cardiovascular Technologists and Technicians,extreme,21,6,3,12,1,0.286,0,62960.0,1
29-2012.00,Medical and Clinical Laboratory Technicians,extreme,14,4,3,7,0,0.286,0,332940.0,1
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,extreme,18,5,13,0,0,0.278,0,220260.0,0
29-1124.00,Radiation Therapists,extreme,22,6,4,12,0,0.273,0,17070.0,1
29-2061.00,Licensed Practical and Licensed Vocational Nurses,extreme,22,6,6,10,0,0.273,0,648410.0,1
19-4071.00,Forest and Conservation Technicians,extreme,20,5,9,6,4,0.25,0,30410.0,0
29-2056.00,Veterinary Technologists and Technicians,extreme,31,7,3,21,0,0.226,0,129140.0,0
19-4092.00,Forensic Science Technicians,extreme,24,5,13,6,2,0.208,0,19120.0,0
29-1071.01,Anesthesiologist Assistants,extreme,16,3,2,11,0,0.188,0,162150.0,0
29-2011.04,Histotechnologists,extreme,16,3,2,11,2,0.188,0,332940.0,0
19-4013.00,Food Science Technicians,extreme,16,3,6,7,0,0.188,0,14600.0,0
29-2092.00,Hearing Aid Specialists,extreme,11,2,3,6,0,0.182,0,11270.0,0
29-2055.00,Surgical Technologists,extreme,18,3,4,11,0,0.167,0,117460.0,0
29-2099.05,Ophthalmic Medical Technologists,extreme,31,4,4,23,0,0.129,0,182610.0,0
29-2057.00,Ophthalmic Medical Technicians,extreme,20,2,4,14,2,0.1,0,71010.0,0
29-1022.00,Oral and Maxillofacial Surgeons,extreme,15,1,5,9,1,0.067,0,4910.0,0
29-9093.00,Surgical Assistants,extreme,28,1,5,22,0,0.036,0,22270.0,0
29-1024.00,Prosthodontists,extreme,12,0,2,10,2,0.0,0,870.0,0
29-2012.01,Histology Technicians,extreme,8,0,0,8,1,0.0,0,332940.0,0
15-2051.01,Business Intelligence Analysts,modest,17,17,0,0,0,1.0,1,262440.0,1
15-1299.03,Document Management Specialists,modest,23,18,5,0,0,0.783,1,435370.0,0
15-1243.01,Data Warehousing Specialists,modest,18,14,4,0,0,0.778,1,67140.0,0
15-2051.02,Clinical Data Managers,modest,21,16,4,1,0,0.762,1,262440.0,0
15-1243.00,Database Architects,modest,25,19,5,1,0,0.76,1,67140.0,0
15-1299.02,Geographic Information Systems Technologists and Technicians,modest,29,22,7,0,1,0.759,1,435370.0,1
15-2051.00,Data Scientists,modest,16,12,4,0,1,0.75,1,262440.0,0
15-1255.00,Web and Digital Interface Designers,modest,30,22,8,0,1,0.733,1,113330.0,0
15-1242.00,Database Administrators,modest,18,13,5,0,0,0.722,1,69990.0,0
15-2099.01,Bioinformatics Technicians,modest,19,13,4,2,1,0.684,1,3720.0,0
15-2021.00,Mathematicians,modest,12,8,4,0,0,0.667,1,2030.0,1
29-2072.00,Medical Records Specialists,modest,16,10,4,2,0,0.625,1,194720.0,1
29-2099.08,Patient Representatives,modest,13,8,3,2,1,0.615,1,182610.0,0
15-1211.00,Computer Systems Analysts,modest,22,13,9,0,1,0.591,1,519530.0,0
15-1251.00,Computer Programmers,modest,17,10,7,0,0,0.588,1,92230.0,0
15-1254.00,Web Developers,modest,29,17,10,2,0,0.586,1,70190.0,0
15-2041.00,Statisticians,modest,19,11,7,1,0,0.579,1,29030.0,0
15-2041.01,Biostatisticians,modest,25,14,11,0,0,0.56,1,29030.0,1
19-1011.00,Animal Scientists,modest,9,5,2,2,0,0.556,1,3100.0,0
19-1029.01,Bioinformatics Scientists,modest,20,11,7,2,0,0.55,1,55850.0,1
15-1211.01,Health Informatics Specialists,modest,17,9,8,0,0,0.529,1,519530.0,0
15-1252.00,Software Developers,modest,17,9,6,2,0,0.529,1,1687890.0,0
19-2021.00,Atmospheric and Space Scientists,modest,27,14,9,4,0,0.519,1,10000.0,1
15-1299.01,Web Administrators,modest,35,17,17,1,0,0.486,0,435370.0,0
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",modest,33,16,12,5,0,0.485,0,284800.0,0
41-9031.00,Sales Engineers,modest,25,12,8,5,0,0.48,0,51790.0,0
15-2031.00,Operations Research Analysts,modest,17,8,9,0,0,0.471,0,108510.0,0
15-1299.08,Computer Systems Engineers/Architects,modest,28,13,13,2,0,0.464,0,435370.0,0
15-1255.01,Video Game Designers,modest,24,11,13,0,0,0.458,0,113330.0,0
15-1232.00,Computer User Support Specialists,modest,16,7,5,4,0,0.438,0,717190.0,0
