onet_soc_code,title,susceptibility,tasks_first,tasks_last,added,retired,turnover_rate,net_change,last_reviewed
19-4051.02,Nuclear Monitoring Technicians,49.0,19,16,0,3,0.0857,-3,2014
17-2199.08,Robotics Engineers,62.2,24,24,2,2,0.0833,0,2018
29-1011.00,Chiropractors,52.3,11,13,2,0,0.0833,2,2026
15-2041.00,Statisticians,74.2,18,19,2,1,0.0811,1,2024
19-3094.00,Political Scientists,70.5,12,14,2,0,0.0769,2,2022
19-3011.00,Economists,66.6,12,14,2,0,0.0769,2,2024
17-2199.07,Photonics Engineers,63.5,26,26,2,2,0.0769,0,2018
17-2041.00,Chemical Engineers,62.0,12,14,2,0,0.0769,2,2025
19-1029.02,Molecular and Cellular Biologists,58.0,21,22,2,1,0.0698,1,2021
25-1022.00,"Mathematical Science Teachers, Postsecondary",68.3,22,23,2,1,0.0667,1,2019
17-3013.00,Mechanical Drafters,62.6,14,16,2,0,0.0667,2,2026
29-2035.00,Magnetic Resonance Imaging Technologists,46.5,23,24,2,1,0.0638,1,2023
17-3025.00,Environmental Engineering Technologists and Technicians,56.4,26,23,0,3,0.0612,-3,2026
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",67.4,24,27,3,0,0.0588,3,2025
19-2021.00,Atmospheric and Space Scientists,66.7,24,27,3,0,0.0588,3,2024
19-4021.00,Biological Technicians,54.3,16,18,2,0,0.0588,2,2026
29-2055.00,Surgical Technologists,38.9,16,18,2,0,0.0588,2,2026
11-9041.00,Architectural and Engineering Managers,60.2,21,19,0,2,0.05,-2,2020
17-2072.00,"Electronics Engineers, Except Computer",64.3,22,20,0,2,0.0476,-2,2022
29-1125.00,Recreational Therapists,53.3,10,11,1,0,0.0476,1,2022
29-1023.00,Orthodontists,46.0,10,11,1,0,0.0476,1,2023
29-2092.00,Hearing Aid Specialists,37.4,10,11,1,0,0.0476,1,2020
17-2071.00,Electrical Engineers,57.9,22,22,1,1,0.0455,0,2023
29-1131.00,Veterinarians,48.3,23,21,0,2,0.0455,-2,2020
15-2021.00,Mathematicians,77.4,11,12,1,0,0.0435,1,2025
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",71.5,36,33,0,3,0.0435,-3,2014
29-1024.00,Prosthodontists,30.3,11,12,1,0,0.0435,1,2024
29-9099.01,Midwives,46.4,35,36,2,1,0.0423,1,2021
19-2043.00,Hydrologists,61.1,25,25,1,1,0.04,0,2026
19-2031.00,Chemists,53.8,13,12,0,1,0.04,-1,2023
25-1052.00,"Chemistry Teachers, Postsecondary",65.9,26,28,2,0,0.037,2,2019
19-1013.00,Soil and Plant Scientists,59.8,27,27,1,1,0.037,0,2021
19-1042.00,"Medical Scientists, Except Epidemiologists",59.5,13,14,1,0,0.037,1,2021
29-2011.02,Cytotechnologists,48.1,14,13,0,1,0.037,-1,2021
25-1066.00,"Psychology Teachers, Postsecondary",66.3,27,29,2,0,0.0357,2,2019
29-1022.00,Oral and Maxillofacial Surgeons,30.4,14,15,1,0,0.0345,1,2026
29-2099.05,Ophthalmic Medical Technologists,41.7,29,31,2,0,0.0333,2,2020
