onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
17-2199.09,Nanosystems Engineers,"Research, Development, Design, and Practitioners",5,25,59.8,63.0,43.4,32.2,0.24,0.08,0.04,Insulated
17-2199.11,Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners",4,13,59.8,62.3,42.7,30.8,0.154,0.077,0.0,Insulated
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners",5,27,59.8,66.6,47.1,41.4,0.296,0.037,0.037,Contested
17-2199.10,Wind Energy Engineers,"Research, Development, Design, and Practitioners",4,16,59.6,63.4,44.3,32.8,0.25,0.0,0.0,Human-anchored
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners",5,14,59.5,67.4,48.4,39.1,0.214,0.0,0.286,Contested
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",5,15,59.4,71.5,52.5,46.6,0.333,0.0,0.4,Contested
19-1012.00,Food Scientists and Technologists,"Research, Development, Design, and Practitioners",4,13,59.1,63.4,45.3,33.0,0.154,0.077,0.154,Human-anchored
17-2121.00,Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners",4,30,58.8,59.0,41.4,23.9,0.267,0.133,0.133,Insulated
19-1021.00,Biochemists and Biophysicists,"Research, Development, Design, and Practitioners",5,24,58.6,63.0,45.8,34.7,0.125,0.0,0.083,Human-anchored
17-3026.00,Industrial Engineering Technologists and Technicians,Technologists and Technicians,3,30,58.3,59.9,43.4,24.9,0.167,0.067,0.0,Insulated
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,14,58.2,62.3,46.0,33.8,0.143,0.0,0.0,Human-anchored
29-2052.00,Pharmacy Technicians,Technologists and Technicians,3,21,58.2,55.5,39.0,6.9,0.333,0.143,0.19,Insulated
17-2171.00,Petroleum Engineers,"Research, Development, Design, and Practitioners",4,23,58.1,60.3,44.1,27.7,0.217,0.13,0.043,Human-anchored
29-1031.00,Dietitians and Nutritionists,"Research, Development, Design, and Practitioners",5,28,58.1,68.6,52.3,41.6,0.143,0.036,0.357,Contested
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners",5,14,58.1,70.2,53.9,49.8,0.214,0.071,0.5,Contested
