soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
19-4031,Chemical Technicians,1,19-4031.00,57540.0,63900.0,60390.0,52.1,0.0,47.6,43.3,15.8,Human-anchored,3676806000,Technologists and Technicians
19-1029,"Biological Scientists, All Other",4,19-1029.01;19-1029.04;19-1029.03;19-1029.02,55850.0,106330.0,98920.0,63.5,4.3,67.3,40.4,36.3,Displaceable,5938530500,"Research, Development, Design, and Practitioners"
29-1151,Nurse Anesthetists,1,29-1151.00,51840.0,248320.0,236590.0,41.7,0.0,41.7,58.3,21.3,Human-anchored,12872908800,"Research, Development, Design, and Practitioners"
41-9031,Sales Engineers,1,41-9031.00,51790.0,130140.0,124900.0,68.5,0.0,70.8,33.9,27.5,Displaceable,6739950600,Sales
17-1022,Surveyors,2,17-1022.01;17-1022.00,50830.0,80570.0,75440.0,59.9,4.6,53.8,34.0,4.3,Insulated,4095373100,Technologists and Technicians
25-1042,"Biological Science Teachers, Postsecondary",1,25-1042.00,50190.0,102840.0,84620.0,65.9,0.0,69.3,37.6,36.3,Displaceable,5161539600,Postsecondary Teaching
25-1022,"Mathematical Science Teachers, Postsecondary",1,25-1022.00,47670.0,91550.0,79940.0,67.2,0.0,70.7,36.3,34.4,Displaceable,4364188500,Postsecondary Teaching
19-3051,Urban and Regional Planners,1,19-3051.00,44230.0,94750.0,89320.0,65.6,0.0,71.3,40.1,39.6,Displaceable,4190792500,"Research, Development, Design, and Practitioners"
29-2035,Magnetic Resonance Imaging Technologists,1,29-2035.00,43390.0,96120.0,95480.0,44.8,0.0,41.2,51.5,11.9,Human-anchored,4170646800,Technologists and Technicians
29-1041,Optometrists,1,29-1041.00,42790.0,141550.0,136570.0,45.7,0.0,52.9,61.5,34.5,Human-anchored,6056924500,"Research, Development, Design, and Practitioners"
25-1066,"Psychology Teachers, Postsecondary",1,25-1066.00,41530.0,93860.0,80340.0,65.2,0.0,69.3,39.0,37.4,Displaceable,3898005800,Postsecondary Teaching
